# WaniKani - Kanji
# Generated on January 09, 2020 02:17 AM UTC
# WaniKani to Anki Exporter (http://wanikanitoanki.com)
#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
k_母;kanji;母;mother, mom;;ぼ;はは;kunyomi;;3
k_斤;kanji;斤;axe, bread loaf counter;;きん;;onyomi;;5
k_宝;kanji;宝;treasure;;ほう;たから;onyomi;;4
k_保;kanji;保;preserve, guarantee;;ほ;たも;onyomi;;9
k_私;kanji;私;i, private;;し;わたし;onyomi;;6
k_求;kanji;求;request;;きゅう;もと;onyomi;;10
k_返;kanji;返;return;;へん;かえ;onyomi;;9
k_新;kanji;新;new;;しん;あたら, あら, にい;onyomi;;9
k_々;kanji;々;repeater, repetition, reduplication, iteration mark;;;のま;kunyomi;;2
k_反;kanji;反;anti;;はん;;onyomi;;8
k_予;kanji;予;beforehand;;よ;あらかじ;onyomi;;9
k_風;kanji;風;wind, style;;ふう, ふ;かぜ;onyomi;;7
k_亡;kanji;亡;death, deceased;;ぼう;な;onyomi;;6
k_生;kanji;生;life;;せい, しょう;い, なま, う, は, き;onyomi;;3
k_味;kanji;味;flavor, taste;;み;あじ;onyomi;;11
k_意;kanji;意;idea;;い;;onyomi;;11
k_令;kanji;令;orders;;れい;;onyomi;;11
k_働;kanji;働;work, labor;;どう;はたら;onyomi;;11
k_便;kanji;便;convenience, convenient;;べん, びん;たよ;onyomi;;11
k_特;kanji;特;special;;とく;;onyomi;;11
k_功;kanji;功;achievement, accomplishment;;こう;;onyomi;;11
k_良;kanji;良;good;;りょう;よ, い;onyomi;;11
k_競;kanji;競;compete;;きょう;きそ;onyomi;;11
k_戦;kanji;戦;war, battle;;せん;たたか;onyomi;;11
k_追;kanji;追;follow, chase;;つい;お;kunyomi;;11
k_級;kanji;級;level, grade, rank;;きゅう;;onyomi;;11
k_秒;kanji;秒;second;;びょう;;onyomi;;11
k_神;kanji;神;god;;しん;かみ;onyomi;;11
k_洋;kanji;洋;western style, ocean;;よう;;onyomi;;11
k_指;kanji;指;finger;;し;ゆび, さ;onyomi;;11
k_拾;kanji;拾;pick up;;;ひろ;kunyomi;;11
k_育;kanji;育;nurture, raise;;いく;そだ, はぐく;onyomi;;11
k_注;kanji;注;pour;;ちゅう;そそ, さ, つ;onyomi;;11
k_波;kanji;波;wave;;は;なみ;onyomi;;11
k_昔;kanji;昔;long ago, long time ago;;;むかし;kunyomi;;11
k_放;kanji;放;release;;ほう;はな, ほう;onyomi;;11
k_岸;kanji;岸;coast, shore;;がん;きし;onyomi;;11
k_命;kanji;命;fate;;めい, みょう;いのち;onyomi;;11
k_労;kanji;労;labor;;ろう;いたわ;onyomi;;11
k_努;kanji;努;toil;;ど;つと;onyomi;;11
k_利;kanji;利;profit, benefit, advantage;;り;き;onyomi;;11
k_別;kanji;別;separate;;べつ;わか;onyomi;;11
k_初;kanji;初;first;;しょ;はじ, はつ, そ, ぞ;onyomi;;11
k_低;kanji;低;low;;てい;ひく;onyomi;;11
k_位;kanji;位;rank;;い;くらい;onyomi;;11
k_老;kanji;老;elderly;;ろう;;onyomi;;11
k_成;kanji;成;become;;せい;な;onyomi;;11
k_算;kanji;算;calculate, calculation;;さん;そろ;onyomi;;10
k_歌;kanji;歌;song, sing;;か;うた;onyomi;;10
k_鉄;kanji;鉄;iron;;てつ;;onyomi;;10
k_農;kanji;農;farming, agriculture;;のう;;onyomi;;10
k_路;kanji;路;road;;ろ;じ, みち;onyomi;;10
k_漢;kanji;漢;chinese, china;;かん;;onyomi;;10
k_業;kanji;業;business;;ぎょう;;onyomi;;10
k_飲;kanji;飲;drink;;いん;の;kunyomi;;10
k_集;kanji;集;collect, gather;;しゅう;あつ;onyomi;;10
k_開;kanji;開;open;;かい;あ, ひら;onyomi;;10
k_運;kanji;運;carry, luck;;うん;はこ;onyomi;;10
k_軽;kanji;軽;lightweight, light, light weight;;けい;かる, かろ;kunyomi;;10
k_葉;kanji;葉;leaf, leaves;;よう;は, ば;kunyomi;;10
k_落;kanji;落;fall;;らく;お;onyomi;;10
k_進;kanji;進;advance;;しん;すす;onyomi;;10
k_転;kanji;転;revolve;;てん;ころ;onyomi;;10
k_習;kanji;習;learn;;しゅう;なら;onyomi;;10
k_終;kanji;終;end, finish;;しゅう;おわ, お;onyomi;;10
k_院;kanji;院;institution;;いん;;onyomi;;10
